,apparent_elevation,azimuth,simulation_direct,direct_reacted,simulation_diffuse,diffuse_reacted
2020-01-01 06:00:00+10:00,4.157872862143534,113.07471230267925,0.008333333333333333,2.6639517995187556e-06,0.05,0.0011219130247196885
2020-01-01 06:30:00+10:00,10.614205380888881,110.92668744065861,0.09166666666666666,0.0033960584600451833,0.075,0.0036728995166763583
2020-01-01 07:00:00+10:00,17.231286880849243,109.03804668795038,0.058333333333333334,0.0064113237578229615,0.03333333333333333,0.002293734645014008
2020-01-01 07:30:00+10:00,23.936665892437784,107.38169206412465,0.058333333333333334,0.011574649710677952,0.03333333333333333,0.0028108783401869057
2020-01-01 08:00:00+10:00,30.70565510160801,105.94371494686686,0.05,0.014586664452086149,0.075,0.0072561945949150995
2020-01-01 08:30:00+10:00,37.52297566919824,104.72559472023227,0.08333333333333333,0.03198509890179726,0.06666666666666667,0.007120801865633897
2020-01-01 09:00:00+10:00,44.376704158107195,103.75024366970797,0.058333333333333334,0.02746343048414957,0.06666666666666667,0.0076658631522303336
2020-01-01 09:30:00+10:00,51.256063069077605,103.07615604934779,0.08333333333333333,0.04582271976377129,0.06666666666666667,0.00810648225084162
2020-01-01 10:00:00+10:00,58.14951806157905,102.83139357756977,0.05,0.030944194507284695,0.058333333333333334,0.0074002238997917455
2020-01-01 10:30:00+10:00,65.04130397380291,103.30487121649679,0.075,0.0507112054450063,0.08333333333333333,0.01091104055270919
2020-01-01 11:00:00+10:00,71.90119713287883,105.24351314166341,0.03333333333333333,0.024012081819476335,0.09166666666666666,0.012275713879559016
2020-01-01 11:30:00+10:00,78.63889714460907,111.17894000965839,0.05,0.03752784836156884,0.058333333333333334,0.00792655910178769
2020-01-01 12:00:00+10:00,84.71477582652169,135.5537193312,0.05,0.038304535644941476,0.06666666666666667,0.009125057458946043
2020-01-01 12:30:00+10:00,85.06231463758674,220.4036046602811,0.058333333333333334,0.04472076656542869,0.08333333333333333,0.011409259301154873
2020-01-01 13:00:00+10:00,79.11755611008871,248.06594924129843,0.058333333333333334,0.04387824385566528,0.09166666666666666,0.01246575466587312
2020-01-01 13:30:00+10:00,72.39715327859383,254.5406451705524,0.05,0.036152928747191795,0.09166666666666666,0.01229213871420381
2020-01-01 14:00:00+10:00,65.54125512649658,256.64492076669626,0.06666666666666667,0.04532266437051887,0.06666666666666667,0.00874589720196188
2020-01-01 14:30:00+10:00,58.64982286456274,257.1911853506779,0.041666666666666664,0.02597849182890405,0.08333333333333333,0.010599971809825963
2020-01-01 15:00:00+10:00,51.7550400025001,256.9866365240863,0.03333333333333333,0.018509009323827326,0.041666666666666664,0.005084473344510022
2020-01-01 15:30:00+10:00,44.873218653251975,256.339065632544,0.06666666666666667,0.031790341679420346,0.041666666666666664,0.004813422126198339
2020-01-01 16:00:00+10:00,38.01603339742127,255.38403443479768,0.075,0.029276245435367623,0.058333333333333334,0.006268988794815821
2020-01-01 16:30:00+10:00,31.194227705060435,254.1835967471718,0.058333333333333334,0.0174124696723268,0.05,0.004877701341387214
2020-01-01 17:00:00+10:00,24.419559073559913,252.7626477888861,0.05,0.010254352492940816,0.09166666666666666,0.007820873381779201
2020-01-01 17:30:00+10:00,17.706922764285014,251.1239720910331,0.05,0.00579602674171267,0.03333333333333333,0.0023351148991996693
2020-01-01 18:00:00+10:00,11.079843804492487,249.25468441187468,0.041666666666666664,0.0017235784394444825,0.09166666666666666,0.0046357376221758855
2020-01-01 18:30:00+10:00,4.603072126278276,247.12862910624705,0.041666666666666664,5.193955180142305e-05,0.058333333333333334,0.001435126229983047
2020-01-02 06:00:00+10:00,4.032836999894145,113.03618297785556,0.008333333333333333,1.064869626462628e-06,0.06666666666666667,0.0014551400941350435
2020-01-02 06:30:00+10:00,10.487735640528097,110.88135593231095,0.09166666666666666,0.003298716168488154,0.05,0.0024276722246020185
2020-01-02 07:00:00+10:00,17.106283754054715,108.98549809718565,0.008333333333333333,0.0009038511357499407,0.05,0.003425554844560029
2020-01-02 07:30:00+10:00,23.813639068963994,107.32102446066114,0.05,0.009843821680668675,0.041666666666666664,0.0035042690520661304
2020-01-02 08:00:00+10:00,30.584845505980862,105.87341158922936,0.08333333333333333,0.024185438376018786,0.05,0.004829016294250209
2020-01-02 08:30:00+10:00,37.40459663577667,104.64326759763907,0.1,0.03824283756882791,0.05,0.005334230254578763
2020-01-02 09:00:00+10:00,44.26101933553399,103.65213874536175,0.058333333333333334,0.027391754239966492,0.06666666666666667,0.007659553712080559
2020-01-02 09:30:00+10:00,51.143458225041805,102.95616057859172,0.041666666666666664,0.022868387656462548,0.075,0.009114711161046719
2020-01-02 10:00:00+10:00,58.04062713723625,102.67886330479672,0.06666666666666667,0.04120487670895303,0.058333333333333334,0.007397603142386
2020-01-02 10:30:00+10:00,64.93730605453854,103.0991894363001,0.06666666666666667,0.04503831875030254,0.058333333333333334,0.007636273378099386
2020-01-02 11:00:00+10:00,71.80470793314912,104.93742164553237,0.075,0.05400247467914951,0.05,0.006695496480180613
2020-01-02 11:30:00+10:00,78.55775098102562,110.62862629665517,0.05,0.03752379415900947,0.016666666666666666,0.0022648922284971896
2020-01-02 12:00:00+10:00,84.69116396214736,134.1051502679453,0.041666666666666664,0.03192732149233877,0.06666666666666667,0.009126748155869157
2020-01-02 12:30:00+10:00,85.19529733837746,220.07550590819744,0.05,0.038352262286306116,0.08333333333333333,0.011412636233680279
2020-01-02 13:00:00+10:00,79.24617827121128,248.30044066037348,0.06666666666666667,0.05018854454783104,0.041666666666666664,0.005668558055608191
