,apparent_elevation,azimuth,ghi,dhi,efficiency,surface_fraction,efficiency_corrected
2020-01-30 12:30:00+01:00,20.721673990991622,174.75735134913634,314.54501041092584,60.91142691074472,0.1640625,0.9835282617065599,50.75501604434784
2020-01-30 13:00:00+01:00,20.843289484172544,182.394458356439,316.86537956116047,61.127281538907795,0.1171875,0.9865501172085627,36.63323172016389
2020-01-30 13:30:00+01:00,20.34518845640965,190.00480823533346,307.357331483265,60.23646201314193,0.171875,0.9734881316720619,51.426497784295265
2020-01-30 14:00:00+01:00,19.241948248093575,197.50347674746325,286.2633781635688,58.196693048474714,0.1328125,0.9445661421935333,35.91179539824424
2020-01-30 14:30:00+01:00,17.564563361921586,204.81882920273782,254.1505991566593,54.89838766642856,0.125,0.9002819837209373,28.60090069657775
2020-01-30 15:00:00+01:00,15.357171386380985,211.89940590126773,211.98608109905007,50.123684171999884,0.1171875,0.8414008893826237,20.902180918766923
2020-01-30 15:30:00+01:00,12.673328513952338,218.71677195706914,161.33776260453826,43.459346495696025,0.0859375,0.7689474867484376,10.661429201532291
2020-01-30 16:00:00+01:00,9.573536595999446,225.26478054026808,104.94860770667049,34.134423447979174,0.125,0.684203583662177,8.97577668665749
2020-01-30 16:30:00+01:00,6.128372867552691,231.55655861702138,48.60744283993167,20.928039489866016,0.0,0.0,0.0
2020-01-30 17:00:00+01:00,2.4540576005193135,237.6206646740829,7.34362938363755,4.826430579276802,0.0,0.0,0.0
2020-01-31 08:30:00+01:00,1.197414376937664,120.03486229544285,1.5481609154998668,1.2038009357709016,0.0,0.0,0.0
2020-01-31 09:00:00+01:00,4.908308907358232,126.0229644659803,31.858358332506036,15.489313349207332,0.0,0.0,0.0
2020-01-31 09:30:00+01:00,8.477101124677235,132.22662723772027,86.0929423275778,30.229037866665607,0.21875,0.6493735402712125,12.229542226917864
2020-01-31 10:00:00+01:00,11.733424490267492,138.67980588789203,144.00802244049302,40.743948374042645,0.09375,0.7385007910613094,9.970316108576146
2020-01-31 10:30:00+01:00,14.59883193905974,145.40247726793655,197.67243783300486,48.2216931219906,0.109375,0.8158873151338201,17.639828782135798
2020-01-31 11:00:00+01:00,17.009878816647547,152.39671656989606,243.62789493565236,53.60507824789846,0.140625,0.8801474178248888,30.154002558430463
2020-01-31 11:30:00+01:00,18.90984617420611,159.64309886691512,279.9953132017276,57.407726799322376,0.140625,0.9301563636360642,36.62429376977716
2020-01-31 12:00:00+01:00,20.250109378092727,167.09880066194182,305.6260282528901,59.9011057036343,0.109375,0.9650461322930367,32.25941430398027
2020-01-31 12:30:00+01:00,20.993737167669916,174.6988854913327,319.81770197922395,61.2257417074282,0.1875,0.9842130371912345,59.01914096484246
2020-01-31 13:00:00+01:00,21.11918247339826,182.36168329657977,322.20897998374556,61.44535407102188,0.171875,0.9873254222459644,54.67775452113787
2020-01-31 13:30:00+01:00,20.622762175548374,189.99788976102198,312.74119140831124,60.569871755231276,0.1875,0.9743283769914107,57.133615770603754
2020-01-31 14:00:00+01:00,19.519106577487168,197.52153126203896,291.65294319849204,58.558906644053906,0.1953125,0.9454445577282393,53.855798416491716
2020-01-31 14:30:00+01:00,17.839428947085963,204.86010645262328,259.50312819192794,55.307397734633014,0.15625,0.9011709813018823,36.54010760681685
