,apparent_elevation,azimuth,simulation_direct,direct_reacted,simulation_diffuse,diffuse_reacted
2020-01-01 08:30:00+01:00,0.8021123413333067,119.7270500660909,0.175,0.00041433958190875204,0.175,0.0008540200374031992
2020-01-01 09:00:00+01:00,5.6094954131904515,124.41492230901912,0.14166666666666666,0.0076702836210444355,0.2,0.00820989480664241
2020-01-01 09:30:00+01:00,10.333233108602757,129.43630639284288,0.225,0.032468346041785646,0.23333333333333334,0.017074679820357107
2020-01-01 10:00:00+01:00,14.745604132157407,134.84938184767293,0.21666666666666667,0.05134044051096732,0.19166666666666668,0.018295484474741257
2020-01-01 10:30:00+01:00,18.75441770826534,140.70402912851682,0.18333333333333332,0.05899075703793541,0.225,0.02496113595103387
2020-01-01 11:00:00+01:00,22.276045390686047,147.03403133951588,0.24166666666666667,0.09550483777542627,0.275,0.033531454073898
2020-01-01 11:30:00+01:00,25.22484318335646,153.8463158521131,0.20833333333333334,0.09487608261724952,0.18333333333333332,0.023786501099261056
2020-01-01 12:00:00+01:00,27.515883081238503,161.1089707048493,0.13333333333333333,0.0668287947120969,0.21666666666666667,0.029274746873589774
2020-01-01 12:30:00+01:00,29.07248391516708,168.74203693586333,0.16666666666666666,0.08863352905195797,0.25,0.03461621531765144
2020-01-01 13:00:00+01:00,29.83613900008383,176.61675259261017,0.325,0.17765548073694298,0.23333333333333334,0.03267327540595089
2020-01-01 13:30:00+01:00,29.77600146234083,184.56772049643115,0.23333333333333334,0.12727328225331255,0.21666666666666667,0.03031271974082063
2020-01-01 14:00:00+01:00,28.89455226640603,192.4171797059388,0.21666666666666667,0.11446397462684423,0.14166666666666666,0.0195623060169837
2020-01-01 14:30:00+01:00,27.227127250074272,200.00378031601568,0.25,0.12385999096529639,0.2,0.0268914263639338
2020-01-01 15:00:00+01:00,24.83550589286833,207.20542586448767,0.21666666666666667,0.09695001533357664,0.19166666666666668,0.024679172620739626
2020-01-01 15:30:00+01:00,21.79815211741948,213.94945443122666,0.30833333333333335,0.11877978408543038,0.275,0.033148213297934895
2020-01-01 16:00:00+01:00,18.200482188889893,220.21030523870948,0.2,0.06200195574978763,0.21666666666666667,0.023614298140011824
2020-01-01 16:30:00+01:00,14.127867038895495,225.9995758072618,0.20833333333333334,0.046618738002370666,0.15833333333333333,0.014675953098394893
2020-01-01 17:00:00+01:00,9.663933303474474,231.35402734643282,0.18333333333333332,0.023934263739634313,0.14166666666666666,0.009798000160649844
2020-01-01 17:30:00+01:00,4.905750389320346,236.32519764099945,0.14166666666666666,0.00606545609719023,0.24166666666666667,0.008595041208869407
2020-01-01 18:00:00+01:00,0.14752078935434476,240.97207465101047,0.14166666666666666,0.00011664798703068891,0.23333333333333334,0.0002282640120113751
2020-01-02 08:30:00+01:00,0.7779702043192649,119.59315449305683,0.13333333333333333,0.0003042724251705844,0.175,0.0008271583879909987
2020-01-02 09:00:00+01:00,5.590100540125503,124.27900738926053,0.14166666666666666,0.007607297038118541,0.20833333333333334,0.00851388778931111
2020-01-02 09:30:00+01:00,10.322236971094625,129.29773047327473,0.23333333333333334,0.033558570178659625,0.225,0.01643564204574958
2020-01-02 10:00:00+01:00,14.744454176414761,134.707870545035,0.25,0.059145495931685214,0.26666666666666666,0.0254311888259886
2020-01-02 10:30:00+01:00,18.764405470465256,140.55980122502444,0.2,0.06431289493643294,0.225,0.024948394452355978
2020-01-02 11:00:00+01:00,22.29838925112724,146.88794886022828,0.24166666666666667,0.09550576880998146,0.225,0.02742783752287632
2020-01-02 11:30:00+01:00,25.260595935124115,153.7000151587257,0.15,0.06834594862059004,0.23333333333333334,0.030271851643867937
2020-01-02 12:00:00+01:00,27.565783746149933,160.9648998278392,0.20833333333333334,0.10451997639889313,0.16666666666666666,0.0225213874591598
2020-01-02 12:30:00+01:00,29.13679510802813,168.6033105903498,0.25,0.13313368510799423,0.275,0.03808789996513336
2020-01-02 13:00:00+01:00,29.914522510312846,176.4867767793396,0.125,0.06845275038252457,0.15,0.02101332483607827
2020-01-02 13:30:00+01:00,29.867488753054644,184.4496463773856,0.21666666666666667,0.1184517809901176,0.19166666666666668,0.026831796342780854
2020-01-02 14:00:00+01:00,28.99763909442296,192.3133653908139,0.3,0.15893583628379773,0.21666666666666667,0.029944414925322224
2020-01-02 14:30:00+01:00,27.339969354731707,199.91546534728448,0.23333333333333334,0.11600581828267147,0.23333333333333334,0.03140974295581913
2020-01-02 15:00:00+01:00,24.95614988823143,207.13271592105156,0.275,0.12358855314050234,0.225,0.029017316608966302
2020-01-02 15:30:00+01:00,21.924730954423847,213.89155803467247,0.225,0.08716267509032558,0.2916666666666667,0.03523645325703925
2020-01-02 16:00:00+01:00,18.33133124590772,220.1658779615871,0.26666666666666666,0.08329371498036597,0.19166666666666668,0.02096027295726035
2020-01-02 16:30:00+01:00,14.261539221713223,225.96704221762474,0.21666666666666667,0.049021453171922774,0.2,0.018641879731788092
2020-01-02 17:00:00+01:00,9.79903683077484,231.33181532677258,0.24166666666666667,0.032153182875723336,0.20833333333333334,0.014566357212234532
2020-01-02 17:30:00+01:00,5.03986834682863,236.3118768276711,0.20833333333333334,0.009330842475946458,0.18333333333333332,0.006707555095719071
2020-01-02 18:00:00+01:00,0.26494856364845387,240.9664193813129,0.1,0.00010151162324214143,0.19166666666666668,0.00031510599555325
2020-01-03 08:30:00+01:00,0.7590354877298444,119.45437433367522,0.13333333333333333,0.00029523153202908216,0.26666666666666666,0.0012282901037718728
2020-01-03 09:00:00+01:00,5.576692817087876,124.13852854515983,0.13333333333333333,0.007112369133463085,0.175,0.00712713336912221
2020-01-03 09:30:00+01:00,10.31754924604807,129.15494164018173,0.15833333333333333,0.022712234452925743,0.23333333333333334,0.017021031472744357
2020-01-03 10:00:00+01:00,14.749887136824595,134.56255059579274,0.14166666666666666,0.033477575701966966,0.2916666666666667,0.02779554801443651
2020-01-03 10:30:00+01:00,18.781234778132976,140.41224655045335,0.23333333333333334,0.07500792695803424,0.225,0.02493871611744913
2020-01-03 11:00:00+01:00,22.327811680895465,146.73912269432952,0.21666666666666667,0.08564800898798718,0.225,0.02742304771975596
2020-01-03 11:30:00+01:00,25.303627390933773,153.55167346785015,0.3,0.13679088677256765,0.20833333333333334,0.027028283365911246
2020-01-03 12:00:00+01:00,27.6231065778304,160.81961669001544,0.20833333333333334,0.10463927249383384,0.2,0.027029617660581207
2020-01-03 12:30:00+01:00,29.20859446957763,168.46431378608065,0.26666666666666666,0.14222883742373701,0.175,0.024244955117496032
2020-01-03 13:00:00+01:00,30.0003654077936,176.35754847762564,0.19166666666666668,0.10516723481735954,0.175,0.024526804975291968
2020-01-03 13:30:00+01:00,29.96630291161867,184.33335620315688,0.18333333333333332,0.10047177973410128,0.19166666666666668,0.026849145991480673
2020-01-03 14:00:00+01:00,29.107819327273432,192.2123237986763,0.20833333333333334,0.11069948834074327,0.20833333333333334,0.02881798782361754
2020-01-03 14:30:00+01:00,27.45958499210454,199.83080695101455,0.23333333333333334,0.11642703385377043,0.25,0.03369313508676454
2020-01-03 15:00:00+01:00,25.083183836312053,207.06440668817305,0.25,0.1128596416086926,0.225,0.029064258765436307
2020-01-03 15:30:00+01:00,22.057277981279874,213.8386585589317,0.25,0.09740481226765174,0.25,0.030271720640726574
2020-01-03 16:00:00+01:00,18.467712171629582,220.12690932988224,0.24166666666666667,0.07606766193154424,0.20833333333333334,0.022860958190630103
2020-01-03 16:30:00+01:00,14.400311584437983,225.94032068501605,0.2,0.04576095497882117,0.16666666666666666,0.01562276622278133
2020-01-03 17:00:00+01:00,9.938829666033707,231.3156911662022,0.21666666666666667,0.02938352671162207,0.21666666666666667,0.01531551766141636
2020-01-03 17:30:00+01:00,5.1783292156760865,236.30487200217016,0.20833333333333334,0.009759288952576672,0.24166666666666667,0.00909451019367079
2020-01-03 18:00:00+01:00,0.38660280706655,240.967287368089,0.09166666666666666,0.00011425604432618844,0.20833333333333334,0.0004893736353721893
2020-01-04 08:30:00+01:00,0.7453342143159387,119.31080879187903,0.15,0.00032449393601831334,0.25,0.001129592363127767
2020-01-04 09:00:00+01:00,5.569311085414999,123.99358430848548,0.15833333333333333,0.008403637995426575,0.14166666666666666,0.005755799039916801
2020-01-04 09:30:00+01:00,10.31920159144106,129.00803779495476,0.2,0.02863474943246745,0.2,0.014575457005880733
2020-01-04 10:00:00+01:00,14.761925681882762,134.41351912440285,0.175,0.04132572922562069,0.15,0.014287639711080047
2020-01-04 10:30:00+01:00,18.804918855601898,140.26146120047173,0.21666666666666667,0.0696501008858078,0.225,0.024932095671126874
2020-01-04 11:00:00+01:00,22.364316280724097,146.58764768622143,0.24166666666666667,0.09557890067957248,0.19166666666666668,0.0233581544651467
2020-01-04 11:30:00+01:00,25.35393148835715,153.40138435545236,0.25,0.11409866504085199,0.2,0.025948442873299716
2020-01-04 12:00:00+01:00,27.687835879634058,160.67321393045336,0.21666666666666667,0.10896884552466074,0.23333333333333334,0.031540455560956325
2020-01-04 12:30:00+01:00,29.28785668019281,168.32513887592222,0.26666666666666666,0.14247211088768455,0.18333333333333332,0.025407826337237434
2020-01-04 13:00:00+01:00,30.09363267811515,176.22916042084307,0.21666666666666667,0.1191365197153671,0.25833333333333336,0.036223797145242105
2020-01-04 13:30:00+01:00,30.0723990900627,184.2189432545237,0.175,0.09615156460547956,0.175,0.024530833295372728
2020-01-04 14:00:00+01:00,29.22503820372564,192.11414799667747,0.30833333333333335,0.16434406373601973,0.21666666666666667,0.02999763771860779
2020-01-04 14:30:00+01:00,27.585909650169146,199.74989625555332,0.25,0.12521339258917794,0.23333333333333334,0.0314847999746317
2020-01-04 15:00:00+01:00,25.216534016284093,207.00058507455273,0.20833333333333334,0.09448672305663372,0.175,0.022642613726549316
2020-01-04 15:30:00+01:00,22.1957112168757,213.7908364372642,0.23333333333333334,0.09144752257138548,0.23333333333333334,0.028318956088775063
2020-01-04 16:00:00+01:00,18.609536019840395,220.09347151589913,0.24166666666666667,0.07666656110101637,0.21666666666666667,0.023857659144670838
2020-01-04 16:30:00+01:00,14.544089812358443,225.91947398778566,0.325,0.0752123909875964,0.2,0.018854151067673786
2020-01-04 17:00:00+01:00,10.083214274367661,231.30570770989323,0.21666666666666667,0.02995493261732473,0.26666666666666666,0.019057666777725885
2020-01-04 17:30:00+01:00,5.321036507317259,236.3042259679542,0.20833333333333334,0.010204859130559055,0.19166666666666668,0.00741770180849583
2020-01-04 18:00:00+01:00,0.5125312481470152,240.97471149625432,0.09166666666666666,0.00013964025528648023,0.18333333333333332,0.0005673220782205259
2020-01-05 08:30:00+01:00,0.7368921483106579,119.16255780601017,0.09166666666666666,0.00019511248505169905,0.26666666666666666,0.0011902346902615284
2020-01-05 09:00:00+01:00,5.567989248728311,123.84427332490958,0.175,0.00925695648789365,0.175,0.0071006064056287335
2020-01-05 09:30:00+01:00,10.32722022358378,128.85711633619184,0.23333333333333334,0.0333682295999975,0.25,0.018209342267958704
2020-01-05 10:00:00+01:00,14.780586989302243,134.26087214334342,0.19166666666666668,0.045249852231872334,0.21666666666666667,0.020631576026560603
2020-01-05 10:30:00+01:00,18.835465520442742,140.10753956880643,0.19166666666666668,0.06163285460361911,0.15833333333333333,0.01754228996368146
2020-01-05 11:00:00+01:00,22.407901417087114,146.43361643721448,0.15833333333333333,0.06266787914351515,0.25,0.030466665370761082
2020-01-05 11:30:00+01:00,25.411497174689952,153.24923869390932,0.18333333333333332,0.0837676023177638,0.175,0.02270725576927029
2020-01-05 12:00:00+01:00,27.75995126547563,160.52578113717868,0.25,0.1259222344451459,0.23333333333333334,0.03154761311548644
2020-01-05 12:30:00+01:00,29.374552070174765,168.18587494554367,0.225,0.12043585921348385,0.25,0.03465947758177574
2020-01-05 13:00:00+01:00,30.194285313704153,176.10170197177877,0.23333333333333334,0.12859172510732397,0.25833333333333336,0.036242246026657814
2020-01-05 13:30:00+01:00,30.185728806375916,184.10649740425538,0.18333333333333332,0.10100342927222682,0.23333333333333334,0.032730321864710886
2020-01-05 14:00:00+01:00,29.349237684982203,192.01892759625724,0.15,0.08021024373193246,0.225,0.031179956765479695
2020-01-05 14:30:00+01:00,27.718875899587864,199.67282082218478,0.2,0.10056147898396114,0.14166666666666666,0.019139135949518615
2020-01-05 15:00:00+01:00,25.35612416629549,206.9413342247011,0.20833333333333334,0.09493826835147175,0.25,0.032400264170099176
2020-01-05 15:30:00+01:00,22.339946541201357,213.74816807042413,0.20833333333333334,0.08214233307351967,0.275,0.0334538465166883
2020-01-05 16:00:00+01:00,18.75671213092034,220.06563235843672,0.23333333333333334,0.07461608733630697,0.24166666666666667,0.02670325149596696
2020-01-05 16:30:00+01:00,14.692778314657158,225.90456026244155,0.2833333333333333,0.06632940077245313,0.25833333333333336,0.024492792731101092
2020-01-05 17:00:00+01:00,10.232092222546584,231.3019128722801,0.225,0.03171520742524417,0.25833333333333336,0.018665795169834357
2020-01-05 17:30:00+01:00,5.467892667912293,236.30997632969903,0.175,0.00896046964561166,0.23333333333333334,0.009284422235728113
2020-01-05 18:00:00+01:00,0.6427514533330021,240.98871920260666,0.14166666666666666,0.00026238970032673223,0.15,0.0005822385513872428
2020-01-06 08:30:00+01:00,0.7337348532881707,119.00972164061187,0.15,0.0003164055361794079,0.23333333333333334,0.001036257788698632
2020-01-06 09:00:00+01:00,5.57275614312141,123.69069394212147,0.16666666666666666,0.008801069634356763,0.18333333333333332,0.007436678700396865
2020-01-06 09:30:00+01:00,10.341625795474592,128.70227374413503,0.13333333333333333,0.019059263231344426,0.20833333333333334,0.015172391883296709
2020-01-06 10:00:00+01:00,14.805882652450213,134.10470413109,0.25,0.05903240922607949,0.23333333333333334,0.02221662510158305
2020-01-06 10:30:00+01:00,18.87287712581751,139.95057392288197,0.20833333333333334,0.06703424802224614,0.24166666666666667,0.0267744699824097
2020-01-06 11:00:00+01:00,22.458560199567795,146.2771188730439,0.18333333333333332,0.07263532882193927,0.21666666666666667,0.026406069871983746
2020-01-06 11:30:00+01:00,25.476308423026058,153.09532421401525,0.16666666666666666,0.07625458447735409,0.2833333333333333,0.03676992645442891
2020-01-06 12:00:00+01:00,27.83942771730619,160.377404407394,0.21666666666666667,0.10931590921818171,0.23333333333333334,0.031555987777826276
2020-01-06 12:30:00+01:00,29.468646720234705,168.04660737566246,0.2,0.10727142947145366,0.175,0.024271049564636764
