,apparent_elevation,azimuth,simulation_direct,direct_reacted
2020-01-23 11:30:00+01:00,0.062322894854448585,180.53055608555817,0.07,0.0006249657566606553
2020-01-24 11:00:00+01:00,0.14633930313355265,173.3946964907061,0.04,0.0004143074886803069
2020-01-24 11:30:00+01:00,0.26038305866313427,180.47101514559233,0.06,0.0007653355393976024
2020-01-24 12:00:00+01:00,0.1211220491163269,187.54692038859935,0.08,0.0007897398746517465
2020-01-25 11:00:00+01:00,0.3480358898942115,173.32777837400988,0.06,0.0008812060223260154
2020-01-25 11:30:00+01:00,0.46591270107223337,180.4144083972356,0.08,0.001429862923225158
2020-01-25 12:00:00+01:00,0.32679582347591474,187.50072699615404,0.08,0.0011321665565049415
2020-01-26 10:30:00+01:00,0.18278594349319421,166.17894601662533,0.06,0.000648427240987246
2020-01-26 11:00:00+01:00,0.5575022703016064,173.26359922673691,0.07,0.0014293623351671796
2020-01-26 11:30:00+01:00,0.6793561679383316,180.36078967536812,0.08,0.001964196285585916
2020-01-26 12:00:00+01:00,0.5400847177593812,187.45776733279826,0.02,0.0003972058822489863
2020-01-26 12:30:00+01:00,0.14919600651356618,194.54183789903138,0.09,0.0009127166746206567
2020-01-27 10:30:00+01:00,0.3924345823408769,166.107028286307,0.05,0.0007715470571541855
2020-01-27 11:00:00+01:00,0.7750609391165386,173.2022116986194,0.05,0.0013914157777145974
2020-01-27 11:30:00+01:00,0.9008876732241133,180.3102075668899,0.08,0.0026449215781401965
2020-01-27 12:00:00+01:00,0.7613446001699236,187.41808573407656,0.06,0.0016367105161193263
2020-01-27 12:30:00+01:00,0.36604822883788285,194.5129618057551,0.06,0.0008844683222103453
2020-01-28 10:30:00+01:00,0.6100669331358644,166.03771056058667,0.05,0.0010781245085179976
2020-01-28 11:00:00+01:00,1.0007984626935147,173.14366305446697,0.06,0.0022305678095201637
2020-01-28 11:30:00+01:00,1.130491888190385,180.26270527491894,0.07,0.003055512441539469
2020-01-28 12:00:00+01:00,0.9906658440700298,187.38172114699347,0.07,0.0025674145544072186
2020-01-28 12:30:00+01:00,0.590593281498646,194.48763086991403,0.08,0.0016724901799464128
2020-01-29 10:00:00+01:00,0.19842286319763708,158.87937545606076,0.06,0.0006400699962614862
2020-01-29 10:30:00+01:00,0.8359600728646152,165.97103869965758,0.05,0.0014742050192588915
2020-01-29 11:00:00+01:00,1.2346399660358907,173.08799524057997,0.06,0.0029220388229357582
2020-01-29 11:30:00+01:00,1.3680281424661795,180.2183206836001,0.04,0.002261422662025091
2020-01-29 12:00:00+01:00,1.2279612422974457,187.34870719068897,0.11,0.005312945044514053
2020-01-29 12:30:00+01:00,0.8231430105058065,194.46587420965494,0.08,0.0023147402120342743
2020-01-29 13:00:00+01:00,0.18053397947124067,201.55797653477214,0.07,0.0007211947467428409
2020-01-30 10:00:00+01:00,0.4204078877966856,158.80461248298434,0.06,0.0009297042857676064
2020-01-30 10:30:00+01:00,1.0701475025009295,165.907053387235,0.06,0.0023676836366902706
2020-01-30 11:00:00+01:00,1.4764065801838355,173.03524502978212,0.05,0.003130101059221259
2020-01-30 11:30:00+01:00,1.613278130125473,180.17708649757466,0.05,0.0035945972096602485
2020-01-30 12:00:00+01:00,1.4730322911453175,187.31907229720292,0.04,0.0024938621783020193
2020-01-30 12:30:00+01:00,1.0637188012645664,194.44771573807827,0.04,0.001564071540246013
2020-01-30 13:00:00+01:00,0.41158731852315456,201.5509704604297,0.06,0.0009144439668217624
2020-01-31 10:00:00+01:00,0.6505983754611553,158.73235213671273,0.04,0.000877958331802905
2020-01-31 10:30:00+01:00,1.3125029103048194,165.84579024104596,0.02,0.0010345467502881948
2020-01-31 11:00:00+01:00,1.725857155670136,172.98544412725767,0.05,0.0039517080056983315
2020-01-31 11:30:00+01:00,1.8659795928724356,180.13903035005845,0.07,0.006289108189752479
2020-01-31 12:00:00+01:00,1.7256162210856951,187.29283981311318,0.11,0.008686732750506842
