,apparent_elevation,azimuth,simulation_direct,direct_reacted,simulation_diffuse,diffuse_reacted
2020-07-15 15:00:00+02:00,56.47197133325864,213.5430240816258,0.2218,0.14608622098797444,0.2087,0.026632863638235693
2020-07-15 15:30:00+02:00,53.52134659901115,224.5911703461043,0.2191,0.13570954129887544,0.2133,0.026445600909283197
2020-07-15 16:00:00+02:00,49.966800519861934,234.30965892873357,0.2253,0.1281523076596037,0.2206,0.02627768352545701
2020-07-15 16:30:00+02:00,45.976390662697895,242.87642543343236,0.2156,0.10956148991336301,0.2113,0.02387412919214009
2020-07-15 17:00:00+02:00,41.68401411950215,250.51577001984975,0.2232,0.09801311155007202,0.2215,0.023379140130493897
2020-07-15 17:30:00+02:00,37.193157061734226,257.44125120400804,0.223,0.08110607571664771,0.2253,0.02180317387969542
