,apparent_elevation,azimuth,simulation_direct,direct_reacted,simulation_diffuse,diffuse_reacted
2020-01-01 09:00:00+01:00,1.5809171610426391,130.92998849100888,0.05,0.00043628230760682285,0.058333333333333334,0.0006093072526879871
2020-01-01 09:30:00+01:00,4.77905297164327,136.96122291103308,0.058333333333333334,0.003480650521854165,0.05,0.0019508608753863955
2020-01-01 10:00:00+01:00,7.722743418701183,143.2104340865946,0.06666666666666667,0.008831606915699126,0.05,0.003334949665379925
2020-01-01 10:30:00+01:00,10.280932450761945,149.68610703969262,0.06666666666666667,0.013556568688516875,0.058333333333333334,0.005130254058962738
2020-01-01 11:00:00+01:00,12.387515477079173,156.38074911679382,0.05,0.01317156783433782,0.075,0.007733574578588699
2020-01-01 11:30:00+01:00,13.992801972174275,163.2692387703056,0.06666666666666667,0.020628275126017354,0.041666666666666664,0.00472434941574979
2020-01-01 12:00:00+01:00,15.058037541388758,170.3088647831721,0.08333333333333333,0.028322792078957937,0.06666666666666667,0.007976759528267945
2020-01-01 12:30:00+01:00,15.556446952357083,177.44182333881713,0.05,0.017703776481227857,0.05,0.0061222320834190495
2020-01-01 13:00:00+01:00,15.475136022890808,184.60036478501212,0.025,0.008793670706578613,0.11666666666666667,0.014232330836234824
2020-01-01 13:30:00+01:00,14.816233637809315,191.71393607715322,0.075,0.02497000923397414,0.058333333333333334,0.006898251493992111
2020-01-01 14:00:00+01:00,13.596695259930044,198.7169220435705,0.075,0.022351791516064406,0.05,0.0055466031200303734
2020-01-01 14:30:00+01:00,11.846858311780851,205.55534555600065,0.058333333333333334,0.014459917941719884,0.05,0.00496978094699535
2020-01-01 15:00:00+01:00,9.608546532544663,212.19129854030496,0.058333333333333334,0.010751897576767352,0.03333333333333333,0.0027549648448006157
2020-01-01 15:30:00+01:00,6.93490219690183,218.60470037091594,0.041666666666666664,0.004650410159586521,0.075,0.004464960269973134
2020-01-01 16:00:00+01:00,3.9009090234255375,224.79277368202003,0.058333333333333334,0.002429577948001277,0.09166666666666666,0.0028036446047184868
2020-01-01 16:30:00+01:00,0.6902947662204981,230.7680881023556,0.06666666666666667,0.0001978374937494343,0.06666666666666667,0.0002845170042827799
2020-01-02 09:00:00+01:00,1.5951461043031299,130.79411013878882,0.09166666666666666,0.0008087116848621666,0.075,0.0007908871961361179
2020-01-02 09:30:00+01:00,4.801831014424027,136.82598529317943,0.1,0.00600108154428653,0.09166666666666666,0.0035928012009240067
2020-01-02 10:00:00+01:00,7.754311836653816,143.07614245934678,0.075,0.00997682430667111,0.03333333333333333,0.0022299753762524224
2020-01-02 10:30:00+01:00,10.321808235332501,149.5533787167995,0.05,0.01020482706474701,0.016666666666666666,0.00146923998189008
2020-01-02 11:00:00+01:00,12.438138343983864,156.25050250640982,0.03333333333333333,0.00881305383340989,0.03333333333333333,0.003444385215276224
2020-01-02 11:30:00+01:00,14.053425074048858,163.14264460624372,0.08333333333333333,0.025884599110541192,0.058333333333333334,0.00662782615318094
2020-01-02 12:00:00+01:00,15.128670166875109,170.18725233470627,0.06666666666666667,0.022754073555052916,0.075,0.008993617505387264
2020-01-02 12:30:00+01:00,15.636826652394454,177.32654711581256,0.06666666666666667,0.023718058054455007,0.075,0.009206055720658952
2020-01-02 13:00:00+01:00,15.564731295253111,184.49265281935496,0.03333333333333333,0.011790211916396275,0.041666666666666664,0.005097803266644505
2020-01-02 13:30:00+01:00,14.914276482516438,191.61475157902575,0.075,0.025136888909331193,0.075,0.008901222445313092
2020-01-02 14:00:00+01:00,13.702234566073136,198.6268691066947,0.041666666666666664,0.012521194848254695,0.075,0.00835919039344776
2020-01-02 14:30:00+01:00,11.958814379596154,205.4746358541298,0.08333333333333333,0.02088400114502721,0.041666666666666664,0.004168801199054023
2020-01-02 15:00:00+01:00,9.725728009092347,212.11977655666277,0.10833333333333334,0.02028194243382316,0.075,0.006261107165645526
2020-01-02 15:30:00+01:00,7.055868856378606,218.54190929200007,0.05,0.005724348443133728,0.05,0.0030286341076347194
2020-01-02 16:00:00+01:00,4.023042202541004,224.7380382546003,0.05,0.002194114162745367,0.075,0.0023783667256617614
2020-01-02 16:30:00+01:00,0.803072127478209,230.72059377596358,0.05,0.00017371384516947847,0.025,0.00012466135178528797
2020-01-03 09:00:00+01:00,1.615864237092291,130.65540729559262,0.075,0.0006730214129871336,0.06666666666666667,0.0007128873693275041
2020-01-03 09:30:00+01:00,4.831646722432471,136.68831562314722,0.09166666666666666,0.005545003491589656,0.058333333333333334,0.0023003104347255167
2020-01-03 10:00:00+01:00,7.793136284158211,142.93985905417412,0.06666666666666667,0.008915848284271078,0.05,0.003357714739495853
2020-01-03 10:30:00+01:00,10.370078825046784,149.4191516618714,0.025,0.005125256211499604,0.08333333333333333,0.007367129460388258
2020-01-03 11:00:00+01:00,12.496249339732326,156.119304026294,0.041666666666666664,0.011063080778978178,0.05,0.005179219047242902
2020-01-03 11:30:00+01:00,14.121586096451841,163.0156949519519,0.05,0.015598174493473048,0.025,0.0028471292588942497
2020-01-03 12:00:00+01:00,15.206842748854017,170.065919785779,0.058333333333333334,0.02000257542615807,0.06666666666666667,0.008013627968380555
2020-01-03 12:30:00+01:00,15.724696518815906,177.2122087803025,0.041666666666666664,0.014900613008073554,0.058333333333333334,0.007179312707872281
2020-01-03 13:00:00+01:00,15.661713642527431,184.38653877690004,0.075,0.026685822640376933,0.09166666666666666,0.011249874509942833
2020-01-03 13:30:00+01:00,15.019552150660596,191.51780543572355,0.08333333333333333,0.028127166885155142,0.041666666666666664,0.0049638792716009215
