,apparent_elevation,azimuth,simulation_direct,direct_reacted
2020-01-01 07:00:00+10:00,17.231286880849243,109.03804668795038,0.14,0.018747748116527397
2020-01-01 07:30:00+10:00,23.936665892437784,107.38169206412465,0.18,0.08068885534307972
2020-01-01 08:00:00+10:00,30.70565510160801,105.94371494686686,0.14,0.11321669763150644
2020-01-01 08:30:00+10:00,37.52297566919824,104.72559472023227,0.22,0.2594063180781535
2020-01-01 09:00:00+10:00,44.376704158107195,103.75024366970797,0.22,0.3381579148689677
2020-01-01 09:30:00+10:00,51.256063069077605,103.07615604934779,0.2,0.37341766009336425
2020-01-01 10:00:00+10:00,58.14951806157905,102.83139357756977,0.21,0.45312579306422146
2020-01-01 10:30:00+10:00,65.04130397380291,103.30487121649679,0.22,0.5280868213286122
2020-01-01 11:00:00+10:00,71.90119713287883,105.24351314166341,0.22,0.5694710026621682
2020-01-01 11:30:00+10:00,78.63889714460907,111.17894000965839,0.28,0.7608483572976589
2020-01-01 12:00:00+10:00,84.71477582652169,135.5537193312,0.16,0.44539195509363894
2020-01-01 12:30:00+10:00,85.06231463758674,220.4036046602811,0.15,0.41791415609872185
2020-01-01 13:00:00+10:00,79.11755611008871,248.06594924129843,0.14,0.38142207847495846
2020-01-01 13:30:00+10:00,72.39715327859383,254.5406451705524,0.18,0.4680344090791601
2020-01-01 14:00:00+10:00,65.54125512649658,256.64492076669626,0.25,0.6040862853101864
2020-01-01 14:30:00+10:00,58.64982286456274,257.1911853506779,0.24,0.5226081136183464
2020-01-01 15:00:00+10:00,51.7550400025001,256.9866365240863,0.19,0.35912970125899724
2020-01-01 15:30:00+10:00,44.873218653251975,256.339065632544,0.21,0.32816414818635964
2020-01-01 16:00:00+10:00,38.01603339742127,255.38403443479768,0.17,0.20506856582304794
2020-01-01 16:30:00+10:00,31.194227705060435,254.1835967471718,0.18,0.15049304994064988
2020-01-01 17:00:00+10:00,24.419559073559913,252.7626477888861,0.2,0.09477237057583743
2020-01-01 17:30:00+10:00,17.706922764285014,251.1239720910331,0.09,0.013893618670899808
2020-01-02 07:00:00+10:00,17.106283754054715,108.98549809718565,0.07,0.009129620183631589
2020-01-02 07:30:00+10:00,23.813639068963994,107.32102446066114,0.17,0.07547411219586063
2020-01-02 08:00:00+10:00,30.584845505980862,105.87341158922936,0.2,0.1608704881689581
2020-01-02 08:30:00+10:00,37.40459663577667,104.64326759763907,0.19,0.22328412112970514
2020-01-02 09:00:00+10:00,44.26101933553399,103.65213874536175,0.23,0.35277435416475017
2020-01-02 09:30:00+10:00,51.143458225041805,102.95616057859172,0.19,0.3542815672998918
2020-01-02 10:00:00+10:00,58.04062713723625,102.67886330479672,0.18,0.3881231315679983
2020-01-02 10:30:00+10:00,64.93730605453854,103.0991894363001,0.19,0.4559834547083145
2020-01-02 11:00:00+10:00,71.80470793314912,104.93742164553237,0.25,0.6472712629659807
2020-01-02 11:30:00+10:00,78.55775098102562,110.62862629665517,0.23,0.6253634262034655
2020-01-02 12:00:00+10:00,84.69116396214736,134.1051502679453,0.23,0.6408760698989457
2020-01-02 12:30:00+10:00,85.19529733837746,220.07550590819744,0.21,0.5858655661641441
2020-01-02 13:00:00+10:00,79.24617827121128,248.30044066037348,0.18,0.4912464441153665
2020-01-02 13:30:00+10:00,72.51706756261663,254.7536278146778,0.22,0.5732694453984065
2020-01-02 14:00:00+10:00,65.65524665267748,256.8248624729737,0.23,0.5572185426537509
2020-01-02 14:30:00+10:00,58.759165736365595,257.3473929328668,0.19,0.4150564217498615
2020-01-02 15:00:00+10:00,51.860312011646066,257.126485108934,0.19,0.3605432303923525
2020-01-02 15:30:00+10:00,44.974657668148964,256.46764064059926,0.23,0.36119078674776595
2020-01-02 16:00:00+10:00,38.11368084897956,255.50493272327788,0.24,0.2913647416181135
2020-01-02 16:30:00+10:00,31.287987931049393,254.29949988082774,0.25,0.2108797975134223
2020-01-02 17:00:00+10:00,24.509217969923377,252.87567760452941,0.17,0.08169950508546098
2020-01-02 17:30:00+10:00,17.792131681081884,251.23591399802982,0.07,0.011179059546694901
2020-01-03 07:00:00+10:00,16.98054316517611,108.92505674657582,0.03,0.003812351315469436
2020-01-03 07:30:00+10:00,23.690173841477538,107.25212942371411,0.14,0.061575650563886225
2020-01-03 08:00:00+10:00,30.46388556266593,105.79440868339941,0.21,0.1680433983633346
2020-01-03 08:30:00+10:00,37.286347263181376,104.55158813742565,0.21,0.24600562827125125
2020-01-03 09:00:00+10:00,44.1457413757712,103.54378106176381,0.27,0.4133043047706548
2020-01-03 09:30:00+10:00,51.03154177280987,102.82465536703717,0.21,0.391112608639497
2020-01-03 10:00:00+10:00,57.93272088057787,102.51302245666517,0.18,0.38789945697373146
2020-01-03 10:30:00+10:00,64.83462083504563,102.87750992842552,0.25,0.5999240705852975
2020-01-03 11:00:00+10:00,71.70992120812714,104.61110418653391,0.15,0.38848976487860415
2020-01-03 11:30:00+10:00,78.47879813451922,110.05125352785154,0.21,0.571387002762115
2020-01-03 12:00:00+10:00,84.67007542110878,132.61749641638312,0.24,0.6694540712223502
2020-01-03 12:30:00+10:00,85.33303541065582,219.80067499250384,0.18,0.5028882080530088
2020-01-03 13:00:00+10:00,79.37575509411108,248.5815471422286,0.2,0.5468164255730242
2020-01-03 13:30:00+10:00,72.63666615741356,254.9950742184971,0.19,0.4961971433948501
2020-01-03 14:00:00+10:00,65.76829353703081,257.0249338130686,0.19,0.4615533892905999
2020-01-03 14:30:00+10:00,58.86714129563536,257.5191948388359,0.25,0.5479134844090677
2020-01-03 15:00:00+10:00,51.96388084851119,257.2791417777506,0.18,0.3429332039655045
2020-01-03 15:30:00+10:00,45.074099391159564,256.6071716249225,0.2,0.3156453868120461
2020-01-03 16:00:00+10:00,38.20905756611415,255.6354894461836,0.28,0.3421187620053242
2020-01-03 16:30:00+10:00,31.379213165207624,254.4241196105499,0.27,0.22978124151089604
2020-01-03 17:00:00+10:00,24.59607993785579,252.99672398390925,0.17,0.08285242997439282
2020-01-03 17:30:00+10:00,17.87428068193433,251.3553441241158,0.1,0.016508414709863296
2020-01-04 07:00:00+10:00,16.85416925588082,108.85675258166646,0.08,0.00991042766077184
2020-01-04 07:30:00+10:00,23.566369705956202,107.1750499185153,0.18,0.07845421041467286
2020-01-04 08:00:00+10:00,30.342869094657043,105.70676417108547,0.22,0.17517649882782324
2020-01-04 08:30:00+10:00,37.16831437233608,104.45063255136859,0.28,0.32702607136459644
2020-01-04 09:00:00+10:00,44.030948287664984,103.42527047832675,0.24,0.36670790659155766
2020-01-04 09:30:00+10:00,50.920380235287936,102.6817728084186,0.24,0.44651851460777464
2020-01-04 10:00:00+10:00,57.8258500139545,102.33405118371343,0.24,0.5169636238464514
2020-01-04 10:30:00+10:00,64.73327547996122,102.64008780303578,0.22,0.527943878270802
2020-01-04 11:00:00+10:00,71.61682448313667,104.26493815146125,0.18,0.4663878935028942
2020-01-04 11:30:00+10:00,78.401946070047,109.44733253921646,0.23,0.6263063060520094
2020-01-04 12:00:00+10:00,84.65123140711964,131.08931771295613,0.2,0.5585239255770532
2020-01-04 12:30:00+10:00,85.47550444852266,219.58373688609933,0.33,0.9233573409175893
2020-01-04 13:00:00+10:00,79.50605683345995,248.91100622009392,0.17,0.4656715289754704
2020-01-04 13:30:00+10:00,72.75574255767397,255.26545977493382,0.2,0.5235133375701037
2020-01-04 14:00:00+10:00,65.88021381130021,257.245294274087,0.21,0.5115507590992739
2020-01-04 14:30:00+10:00,58.973585709042524,257.7066380745234,0.23,0.5057622528233817
2020-01-04 15:00:00+10:00,52.06559660380235,257.44460373917326,0.23,0.43997036151137664
2020-01-04 15:30:00+10:00,45.171405285343134,256.75763023345297,0.22,0.3489586243153096
2020-01-04 16:00:00+10:00,38.30203483418153,255.77566150820957,0.18,0.2213598728259932
2020-01-04 16:30:00+10:00,31.467783585805588,254.55740338568825,0.08,0.06869060240381872
2020-01-04 17:00:00+10:00,24.68003352637456,253.1257276440396,0.17,0.08401412047562362
2020-01-04 17:30:00+10:00,17.953266420549276,251.48219787946033,0.08,0.013641373993186337
2020-01-05 07:00:00+10:00,16.727262955814098,108.78062053597205,0.1,0.01208308813119749
2020-01-05 07:30:00+10:00,23.442322378587875,107.08983381953396,0.11,0.047526617232087016
2020-01-05 08:00:00+10:00,30.22188556399532,105.6105407794845,0.19,0.15057614297721406
2020-01-05 08:30:00+10:00,37.05057981598676,104.34048162783063,0.28,0.3261067962574314
2020-01-05 09:00:00+10:00,43.91671245748175,103.29671105349092,0.25,0.38134567154216287
2020-01-05 09:30:00+10:00,50.810033789935545,102.52764876895367,0.23,0.42752397859844654
2020-01-05 10:00:00+10:00,57.720058082117106,102.14213162461067,0.26,0.5598566269260731
2020-01-05 10:30:00+10:00,64.6332889916499,102.3871769023109,0.1,0.24000585664054
2020-01-05 11:00:00+10:00,71.52539594808782,103.89929198304213,0.16,0.41478721592762213
2020-01-05 11:30:00+10:00,78.3270915917437,108.81734968174447,0.26,0.7086327072862614
2020-01-05 12:00:00+10:00,84.63433328472557,129.51924555620144,0.21,0.5871804692475597
2020-01-05 12:30:00+10:00,85.62266527918852,219.4302249161327,0.21,0.5885290696787006
2020-01-05 13:00:00+10:00,79.63683376255226,249.29061396743248,0.27,0.7410496576644989
2020-01-05 13:30:00+10:00,72.87408119036631,255.56524295772567,0.16,0.41980363613580635
2020-01-05 14:00:00+10:00,65.9908212954903,257.48608544906364,0.25,0.6107164360912369
2020-01-05 14:30:00+10:00,59.07833354978681,257.9097552332548,0.26,0.5736737849816991
2020-01-05 15:00:00+10:00,52.16530942933092,257.6228567323798,0.14,0.2689090666193096
2020-01-05 15:30:00+10:00,45.266438036916036,256.9189788334657,0.18,0.28696195493683996
2020-01-05 16:00:00+10:00,38.392486039339545,255.92539817035944,0.16,0.19804564472775796
2020-01-05 16:30:00+10:00,31.55358217218555,254.6992922756666,0.19,0.16459406752805292
2020-01-05 17:00:00+10:00,24.760970666330586,253.2626239366714,0.16,0.0801726181927635
2020-01-05 17:30:00+10:00,18.02898943154428,251.61640616040754,0.14,0.02463911029729696
2020-01-06 07:00:00+10:00,16.599921646269983,108.69670038709296,0.13,0.015331091804203726
2020-01-06 07:30:00+10:00,23.318123471049276,106.99653372809234,0.24,0.10282532947763792
2020-01-06 08:00:00+10:00,30.10101976365539,105.50580579779,0.22,0.17357054455132798
2020-01-06 08:30:00+10:00,36.93322019053702,104.22122046460987,0.19,0.22070561837451425
2020-01-06 09:00:00+10:00,43.80310039291753,103.15821073147714,0.24,0.3655338931355887
2020-01-06 09:30:00+10:00,50.70055604735121,102.36242223431623,0.21,0.39004570791017307
2020-01-06 10:00:00+10:00,57.6153812818805,101.93744754444361,0.23,0.4951523259233953
2020-01-06 10:30:00+10:00,64.53467210769522,102.1190295585692,0.21,0.504133703812901
2020-01-06 11:00:00+10:00,71.43560444253488,103.51452559266039,0.21,0.5447523745814125
2020-01-06 11:30:00+10:00,78.25412088695931,108.16177040228825,0.21,0.5729233590364126
2020-01-06 12:00:00+10:00,84.61906198686121,127.90600418630021,0.16,0.44797151494854814
2020-01-06 12:30:00+10:00,85.77446193060705,219.3467878147961,0.27,0.7579492468578671
2020-01-06 13:00:00+10:00,79.76781537351643,249.72221864312206,0.27,0.742561851235446
2020-01-06 13:30:00+10:00,72.99145769116224,255.89486169082113,0.21,0.5523369648367703
2020-01-06 14:00:00+10:00,66.09992605443679,257.7474296281839,0.33,0.8084838275720796
2020-01-06 14:30:00+10:00,59.18121828792293,258.12856394954275,0.23,0.5092339833059626
2020-01-06 15:00:00+10:00,52.26287001995396,257.8138748606894,0.17,0.32789095908781013
2020-01-06 15:30:00+10:00,45.35906201581918,257.09117053357556,0.17,0.27240662724877246
2020-01-06 16:00:00+10:00,38.48028710833312,256.0846411756431,0.16,0.19933917175152494
2020-01-06 16:30:00+10:00,31.636495125012097,254.84972115832272,0.19,0.1660581869500781
2020-01-06 17:00:00+10:00,24.838787068529534,253.40734307736238,0.13,0.06603932954290556
